DATE ,HABITAT,TRANSECT,Easting,Northing,COMPASS,Point,Species Code,Common Name,Scientific Name,Height,Comments,Comments 2 ,
5/8/2002,LM,1A,561942,4219198,237,0,BARE,Bare Ground,N/A,,"this transect was done not using point, intercept method, but Sdist/Edist",,
5/8/2002,LM,1A,561942,4219198,237,0.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,1,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,1.5,SAVI,Pickleweed,Salicornia virginica,,,,
5/8/2002,LM,1A,561942,4219198,237,2,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,2.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,3,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,3.5,COCO,Brass buttons,Cotula coronopifolia,,,,
5/8/2002,LM,1A,561942,4219198,237,4,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,4.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,5.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,6,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,6.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,7,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,7.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,8,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,8.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,9,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,9.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,10,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,10.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,11,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,11.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,12,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,12.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,13,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,13.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,14,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,14.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1A,561942,4219198,237,15,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,0,BARE,Bare Ground,N/A,,"this transect was done not using point, intercept method, but Sdist/Edist",,
5/8/2002,LM,1B,,,220,0.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,1,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,1.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,2,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,2.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,3,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,3.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,4,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,4.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,5.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,6,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,6.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,7,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,7.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,8,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,8.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,9,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,9.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,10,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,10.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,11,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,11.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,12,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,12.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,13,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,13.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,14,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,14.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1B,,,220,15,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1C,,,138,0,BARE,Bare Ground,N/A,,"this transect was done not using point, intercept method, but Sdist/Edist",,
5/8/2002,LM,1C,,,138,0.5,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1C,,,138,1,BARE,Bare Ground,N/A,,,,
5/8/2002,LM,1C,,,138,1.5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,2,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,2.5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,3,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,3.5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,4,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,4.5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,5.5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,6,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,6.5,OPWA,Open Water,N/A,,,,
5/8/2002,LM,1C,,,138,7,OPWA,Open Water,N/A,,,,
