Sedpin,UTM NAD 27,,Northing,Easting,NGVD (ft),Northing,Easting,NAVD88(ft),2005 NAVD88 (ft),NGVD (cm),3/1/2002,3/18/2002,5/16/2002,7/19/2002,10/22/2002,11/15/2002,12/12/2002,2/10/2003,6/8/2003,8/5/2003,11/4/2003,2/24/2004,6/25/2004,9/7/2004,2/26/2005,4/21/2005,7/29/2005,10/12/2005,2/13/2006,4/28/2006,5/29/2006,9/18/2006,9/25/2007,9/29/2008,9/3/2009,10/5/2010
1,549715,4219823,,,10.28,4220019,549618,13.57,land,313.3,222,202,205.5,205,205,199.75,199.75,200.25,201.25,201.25,201.25,201,200.75,200.5,200.25,199.5,202.5,202,,201,,198.25,196,202,200.5,202
2,549722,4219792,4219776,549741,7.41,4219972,549644,10.00,7.69,225.9,215,210.75,215.75,216.5,213,210.75,211,206.5,200.5,198,203,192.25,187.75,182.75,172,167.75,160.25,158,153.25,,138,134.75,123.5,126,120,116
3,549759,4219593,4219572,549783,7.46,4219768,549686,10.05,8.31,227.5,342,341.5,342.25,325.75,301,302.25,300.75,293.25,279,266,262,245.75,228.25,208.75,195.5,186.25,182.25,183.5,173.5,,152,148.5,140.5,144,137,135
4,549777,4219465,4219447,549800,6.43,4219643,549703,9.02,7.34,196.0,341.5,342.5,343.5,135.5,324,324.25,323.5,315,307.5,300.75,292.5,275,220,191,175,168.5,161.25,159.5,149,,128.5,123,124.5,113.5,105,103
5,549913,4219845,,,10.24,4220041,549816,12.83,land,312.1,201,201.75,205,203,202.5,201,202,202.25,200.25,199.75,199.5,200,200,197.25,200,197.5,198,200,,200.5,,200.25,198.5,198.25,198,199.5
6,549914,4219816,4219802,549935,7.26,4219998,549838,9.85,7.89,221.3,266,265.5,267.5,263.5,256.25,255.25,254.25,250,248.5,245.75,244.75,235,221.5,212.75,203,202,195.5,191.5,187.25,,173,169.5,158.5,156.5,157.5,154
7,,,4219741,549945,7.63,4219937,549848,10.22,8.38,232.5,341.5,341,340.5,309.25,293,291.75,291.25,284.5,276.5,268.5,258.25,243,235.5,220.5,203.5,199.5,198,195.5,188,,171,169,152,164.5,161.5,162.5
8,549956,4219554,4219533,549981,8.85,4219729,549884,11.44,8.64,269.8,324.5,326.5,328.25,324.75,319.5,320,318.75,317.75,310,303.75,301,288,276.25,254.75,237,229.25,215.75,214.5,209.25,,184,175.75,164.5,167.5,163,165.5
9,549607,4219451,,,10.22,4219647,549510,12.81,land,311.5,201.5,200,201.75,198.75,199.25,195,193.5,193.25,193.75,193.5,194.5,193,193.75,193.5,194,194.25,193.5,194.5,,192.5,,194,194,192.75,192,192.5
10,549627,4219457,4219432,549648,7.03,4219628,549551,9.62,9.46,214.1,239.5,237.5,239.5,239.25,241.5,241.75,241.5,240,239.75,240.25,239.5,240.75,236.5,230.5,226.75,222.25,216.25,212,208.25,,195,180.25,165.5,163,159,141.5
11,549860,4219614,4219597,549880,7.45,4219793,549783,10.04,8.11,227.2,342,341.5,342.25,326.75,311.5,309.75,307.5,302,287,269.5,264.5,248.75,234,211.25,201.75,191.75,185.25,185.75,179.5,,159.5,157,146.5,147,145.5,144
12,549973,4219684,4219665,549997,8.56,4219861,549900,11.15,6.17,260.9,253.5,253.5,257.5,260.75,260.25,261.5,264,262,261.5,264,265.75,262.25,269,270,263,264.75,259.25,247,215.75,,172,133.5,124.5,121,112,under water-unable to survey
13,549529,4219616,,,3.46,4219812,549432,6.06,land,105.5,202.5,202.75,203,201.25,199.5,195.25,195,199.5,Bent over,Bent over,198.75,199.5,198.5,198,198,197,198,197.5,,198,,198.25,198,197,195.5,198.5
14,549552,4219613,4219606,549565,7.18,4219802,549468,9.77,9.71,218.8,298.5,294.5,298.75,291.75,285,284.75,284.5,278,267,265.5,260,252.25,231.5,222.5,217.5,212.5,208,206.5,202.25,,190.5,187,172,167.25,159,153.5
15,549761,4219771,4219757,549779,7.32,4219953,549682,9.91,7.22,223.2,232,194.5,231.5,230,229.25,228,227.75,221.5,226.5,228.25,222.5,214,196.75,190,171.5,163,154.5,154,148.25,,133,131.25,120,121,117,110
16,550003,4219838,4219824,550022,6.95,4220020,549925,9.54,8.05,212.0,238,234.75,237.25,231.75,226.75,222.75,224.75,220.25,212.5,212.5,212,205.75,195.5,189.25,183,175.5,171.25,171.25,169.5,,152.5,155.25,140,143.5,137,134.5
17,549612,4219783,4219761,549632,8.72,4219957,549535,11.31,8.60,265.7,149,149.5,149.5,158.75,164,165.75,165,165.25,165.5,170.5,173.5,173.75,177.5,180.75,183,182.25,183.25,180.75,178,,164,159.5,145,144,137,132
