#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-04-16 04:32:35 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
# 80155		Suspended sediment discharge, tons per day		5	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	11458000	00060	2	1959	10	0.710
USGS	11458000	00060	2	1959	11	1.38
USGS	11458000	00060	2	1959	12	3.12
USGS	11458000	00060	2	1960	1	37.5
USGS	11458000	00060	2	1960	2	740.9
USGS	11458000	00060	2	1960	3	323.8
USGS	11458000	00060	2	1960	4	70.8
USGS	11458000	00060	2	1960	5	27.8
USGS	11458000	00060	2	1960	6	5.18
USGS	11458000	00060	2	1960	7	0.197
USGS	11458000	00060	2	1960	8	0.000
USGS	11458000	00060	2	1960	9	0.000
USGS	11458000	00060	2	1960	10	0.000
USGS	11458000	00060	2	1960	11	4.38
USGS	11458000	00060	2	1960	12	49.9
USGS	11458000	00060	2	1961	1	112.8
USGS	11458000	00060	2	1961	2	260.8
USGS	11458000	00060	2	1961	3	159.8
USGS	11458000	00060	2	1961	4	61.6
USGS	11458000	00060	2	1961	5	23.5
USGS	11458000	00060	2	1961	6	3.38
USGS	11458000	00060	2	1961	7	0.000
USGS	11458000	00060	2	1961	8	0.000
USGS	11458000	00060	2	1961	9	0.000
USGS	11458000	00060	2	1961	10	0.000
USGS	11458000	00060	2	1961	11	3.52
USGS	11458000	00060	2	1961	12	76.7
USGS	11458000	00060	2	1962	1	63.7
USGS	11458000	00060	2	1962	2	1024
USGS	11458000	00060	2	1962	3	554.3
USGS	11458000	00060	2	1962	4	70.4
USGS	11458000	00060	2	1962	5	22.4
USGS	11458000	00060	2	1962	6	3.50
USGS	11458000	00060	2	1962	7	0.039
USGS	11458000	00060	2	1962	8	0.000
USGS	11458000	00060	2	1962	9	0.000
USGS	11458000	00060	2	1962	10	337.7
USGS	11458000	00060	2	1962	11	28.2
USGS	11458000	00060	2	1962	12	227.9
USGS	11458000	00060	2	1963	1	509.9
USGS	11458000	00060	2	1963	2	1077
USGS	11458000	00060	2	1963	3	371.4
USGS	11458000	00060	2	1963	4	867.6
USGS	11458000	00060	2	1963	5	112.1
USGS	11458000	00060	2	1963	6	28.5
USGS	11458000	00060	2	1963	7	5.20
USGS	11458000	00060	2	1963	8	1.71
USGS	11458000	00060	2	1963	9	1.61
USGS	11458000	00060	2	1963	10	7.31
USGS	11458000	00060	2	1963	11	103.0
USGS	11458000	00060	2	1963	12	34.4
USGS	11458000	00060	2	1964	1	262.9
USGS	11458000	00060	2	1964	2	61.7
USGS	11458000	00060	2	1964	3	34.0
USGS	11458000	00060	2	1964	4	18.5
USGS	11458000	00060	2	1964	5	5.20
USGS	11458000	00060	2	1964	6	2.50
USGS	11458000	00060	2	1964	7	0.381
USGS	11458000	00060	2	1964	8	0.000
USGS	11458000	00060	2	1964	9	0.060
USGS	11458000	00060	2	1964	10	0.648
USGS	11458000	00060	2	1964	11	59.3
USGS	11458000	00060	2	1964	12	979.9
USGS	11458000	00060	2	1965	1	1267
USGS	11458000	00060	2	1965	2	164.0
USGS	11458000	00060	2	1965	3	62.7
USGS	11458000	00060	2	1965	4	273.7
USGS	11458000	00060	2	1965	5	52.2
USGS	11458000	00060	2	1965	6	12.4
USGS	11458000	00060	2	1965	7	3.10
USGS	11458000	00060	2	1965	8	3.54
USGS	11458000	00060	2	1965	9	1.99
USGS	11458000	00060	2	1965	10	2.37
USGS	11458000	00060	2	1965	11	56.5
USGS	11458000	00060	2	1965	12	131.2
USGS	11458000	00060	2	1966	1	870.1
USGS	11458000	00060	2	1966	2	465.7
USGS	11458000	00060	2	1966	3	129.7
USGS	11458000	00060	2	1966	4	46.8
USGS	11458000	00060	2	1966	5	17.2
USGS	11458000	00060	2	1966	6	3.47
USGS	11458000	00060	2	1966	7	0.390
USGS	11458000	00060	2	1966	8	0.590
USGS	11458000	00060	2	1966	9	0.193
USGS	11458000	00060	2	1966	10	0.416
USGS	11458000	00060	2	1966	11	130.0
