#
#
"# US Geological Survey, Water Resources Data"
# retrieved: 2014-02-06 16:21:33 EST      (nadww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
"# For more details on why the statistics may not match, visit http://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer."
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd  Parameter Name                                  dd_nu   Location Name
"# 00060         Discharge, cubic feet per second                2       "
"# 80154         Suspended sediment concentration, milligrams per liter          4       "
"# 80155         Suspended sediment discharge, tons per day              5       "
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd       site_no parameter_cd    dd_nu   month_nu        day_nu  begin_yr        end_yr  count_nu        max_va_yr       max_va  min_va_yr       min_va  mean_va p05_va  p10_va  p20_va  p25_va  p50_va  p75_va  p80_va  p90_va  p95_va
5s      15s     5s      11n     3n      3n      6n      6n      8n      5n      12s     5n      12s     12s     12s     12s     12s     12s     12s     12s     12s     12s     12s
USGS    11458000        00060   2       1       1       1960    2013    54      1997    14600   1977    0.33    799     3.3     5.9     9.6     10      56      487     725     1720    5220
USGS    11458000        00060   2       1       2       1960    2013    54      1997    7840    1991    2.6     640     4.9     6.1     9.8     11      47      348     819     1470    6600
USGS    11458000        00060   2       1       3       1960    2013    54      1997    5800    1991    2.4     477     5.0     6.2     11      15      45      409     511     1720    2980
USGS    11458000        00060   2       1       4       1960    2013    54      1982    13200   1991    2.2     766     4.8     6.2     10      14      70      622     725     2470    4020
USGS    11458000        00060   2       1       5       1960    2013    54      1982    9700    1991    2.0     823     4.8     6.1     8.7     12      63      573     786     1890    7020
USGS    11458000        00060   2       1       6       1960    2013    54      1965    8170    1991    1.9     535     4.8     6.0     8.1     12      65      490     589     1680    3110
USGS    11458000        00060   2       1       7       1960    2013    54      1965    3690    1991    2.5     384     3.7     5.8     8.1     12      82      435     635     1370    1780
USGS    11458000        00060   2       1       8       1960    2013    54      1995    8310    1977    1.5     436     4.2     6.1     11      18      111     379     507     1070    1450
USGS    11458000        00060   2       1       9       1960    2013    54      1995    18400   1977    1.1     675     5.9     6.9     14      16      105     520     670     1170    2270
USGS    11458000        00060   2       1       10      1960    2013    54      1995    13900   1977    0.60    541     5.4     6.4     15      17      84      536     641     1040    1220
USGS    11458000        00060   2       1       11      1960    2013    54      1995    4280    1977    0.56    451     4.5     7.6     15      17      149     561     626     904     2770
USGS    11458000        00060   2       1       12      1960    2013    54      1973    8080    1977    1.4     624     4.3     9.1     14      18      141     507     583     1320    4440
USGS    11458000        00060   2       1       13      1960    2013    54      1980    6770    1977    1.4     680     4.1     8.6     16      18      131     578     774     1950    4790
USGS    11458000        00060   2       1       14      1960    2013    54      1995    11600   1977    1.5     867     4.1     8.7     15      17      125     687     890     2550    6050
USGS    11458000        00060   2       1       15      1960    2013    54      1978    4400    1977    0.82    618     3.9     8.5     14      17      109     595     971     2390    3580
